Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
1552 Tenka Tairan@1552天下大乱,1552 Tenka Tairan@1552天下大乱,1552tenkatairan,Japan,1993-07-16,ASK Kodansha,ASK Kodansha,#players:1 #genre:sim>strategy #addon:peripheral>cdromrom:expansion>supersystemcard:mouse>pce #lang:ja
3x3 Eyes: Sanjiyan Henjō@3X3 Eyes 三只眼燮成,3x3 Eyes: Sanjiyan Henjō@3X3 Eyes 三只眼燮成,3x3eyessanjiyanhenjou,Japan,1994-07-08,Nihon Create,NEC,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard>arcadecard #port:nec>pc98 #based:manganime #lang:ja
3x3 Eyes: Sanjiyan Henjō@3X3 Eyes 三只眼燮成,3x3 Eyes: Sanjiyan Henjō@3X3 Eyes 三只眼燮成,3x3eyessanjiyanhenjou,Japan,,Nihon Create,NEC,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard>arcadecard #port:nec>pc98 #based:manganime #lang:ja #rev:1
AIII: Daisuki na Mata e Ikō: Take the ‟A” Train III@AIII 大好きな街へ行こう Take the ‟A” Train III,A.III. A Ressha de Ikō III: Take the ‟A” Train III@A.III. A列車で行こうIII: Take the ‟A” Train III,a3aresshadeikou3,Japan,1993-06-11,Artdink,Artdink,#players:1 #genre:sim>strategy #addon:peripheral>cdromrom:expansion>supersystemcard:mouse>pce:backup>memorybase128 #save:backup #lang:ja
Acchi Kocchi Docchi@あっち こっち どっち,Acchi Kocchi Docchi@あっち こっち どっち,acchikocchidocchi,Japan,1993,Fun Project/Hary & Company/Proscope,NEC Home Electronics,#players:1 #genre:puzzle #addon:peripheral>cdromrom:expansion>supersystemcard:controller>10key #based #lang:ja
Advanced V.G. Variable Geo@Advanced V.G. ヴァリアブル・ジオ,Advanced V.G. Variable Geo@Advanced V.G. ヴァリアブル・ジオ,advancedvg,Japan,1994-07-22,TGL,TGL,#players:2:vs #genre:fighting #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce:controller>avenuepad6 #lang:ja
Adventure Quiz: CAPCOM World / Hatena? no Daibōken@アドベンチャー クイズ CAPCOM World /　ハテナ?の大冒険 アドベンチャー クイズ2,Adventure Quiz: CAPCOM World - Hatena no Daibōken@アドベンチャー クイズ: アドベンチャー クイズ カプコンワールド　ハテナの大冒険,adventurequiz,Japan,1992-06-19,CAPCOM,Hudson,#players:1 #genre:quiz #addon:peripheral>cdromrom:expansion>supersystemcard #port:arcade #multigame:compilation #lang:ja
Ai Chō Aniki@愛・超兄貴,Ai Chō Aniki@愛・超兄貴,aichouaniki,Japan,1995-02-24,NCS,Masaya,#players:2:coop #genre:shmup>h #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #lang:ja
Akiyama Jin no Sūgaku Mystery: Hihō India no Honoo wo Shishu Seyo!@秋山仁の数学ミステリー 秘宝『インドの炎』を死守せよ!,Akiyama Jin no Sūgaku Mystery: Hihō India no Honoo wo Shishu Seyo!@秋山仁の数学ミステリー　秘宝‟インドの炎”を死守せよ!,akiyamajinnosuugakumysteryhinhwss,Japan,1994,NHK,NHK,#players:1 #genre:adventure:quiz #addon:peripheral>cdromrom:expansion>supersystemcard #based #search:keyword>endorsed #lang:ja
Akumajō Dracula X: Chi no Rondo@悪魔城ドラキュラX 血の輪廻 ロンド,Akumajō Dracula X: Chi no Rondo@悪魔城ドラキュラX 血の輪廻 ロンド,akumajoydraculaxchinorondo,Japan,1993-10-29,Konami,Konami,#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard:controller>avenuepad3 #save:backup #search:franchise>castlevania:feature>dracula #lang:ja
